,id,season,week,startDate,homeTeam,homeConference,homeScore,awayTeam,awayConference,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline
162,401643701,2024,1,2024-08-31T23:00:00.000Z,Troy,Sun Belt,26.0,Nevada,Mountain West,28.0,DraftKings,-15.5,Troy -15.5,-16,47,46.5,-278.0,225.0
163,401636609,2024,1,2024-09-01T02:30:00.000Z,Arizona State,Big 12,48.0,Wyoming,Mountain West,7.0,DraftKings,-6.5,Arizona State -6.5,-6.5,47.5,47.5,-245.0,200.0
164,401644731,2024,1,2024-08-31T19:30:00.000Z,Northern Illinois,Mid-American,54.0,Western Illinois,Big South-OVC,15.0,,,,,,,,
165,401628579,2024,1,2024-08-29T23:00:00.000Z,Delaware,CAA,48.0,Bryant,CAA,17.0,,,,,,,,
166,401643699,2024,1,2024-08-31T19:30:00.000Z,Air Force,Mountain West,21.0,Merrimack,FCS Independents,6.0,,,,,,,,
167,401674305,2024,1,2024-08-29T23:00:00.000Z,Wheeling Jesuit,Mountain East,25.0,Mercyhurst,NEC,28.0,,,,,,,,
168,401643703,2024,1,2024-08-31T04:00:00.000Z,Utah State,Mountain West,36.0,Robert Morris,NEC,14.0,,,,,,,,
169,401673044,2024,1,2024-08-31T22:00:00.000Z,Stetson,Pioneer,41.0,Ave Maria,,3.0,,,,,,,,
170,401673370,2024,1,2024-08-29T22:00:00.000Z,Carson-Newman,South Atlantic,50.0,Reinhardt,,7.0,,,,,,,,
171,401675822,2024,1,2024-08-29T23:00:00.000Z,University of Mary,Northern Sun,23.0,Jamestown,,6.0,,,,,,,,
172,401693677,2024,1,2024-08-24T04:00:00.000Z,Lincoln University (CA),Independent DII,7.0,College of Idaho,,45.0,,,,,,,,
173,401654657,2024,1,2024-08-31T16:00:00.000Z,Wagner,NEC,46.0,Virginia Lynchburg,,7.0,,,,,,,,
174,401674221,2024,1,2024-08-29T23:00:00.000Z,Minot State,Northern Sun,38.0,Valley City State,,7.0,,,,,,,,
175,401675114,2024,1,2024-08-30T00:00:00.000Z,Stephen F. Austin,Southland,77.0,North American University,,0.0,,,,,,,,
176,401658348,2024,1,2024-08-31T19:00:00.000Z,Erskine,Gulf South,52.0,St. Andrews,,0.0,,,,,,,,
